25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
41,41,41,41,52,23,31,31,23,23,23,23,23,23,23,23,23,23,23,23,52,41,41,37,33
0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,33
5,5,5,16,5,5,12,13,5,5,5,5,5,5,5,5,5,5,5,5,5,16,0,32,33
0,0,0,6,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,33
25,26,0,6,0,15,31,31,15,15,15,15,15,15,15,15,15,15,15,15,0,6,0,32,33
33,34,0,6,0,15,7,7,7,7,7,7,7,7,7,7,7,7,7,15,0,6,0,32,33
33,34,0,6,0,15,7,113,113,113,113,113,113,113,113,113,113,113,7,15,0,6,0,32,33
33,34,0,6,0,15,7,113,113,113,113,113,113,113,113,113,113,113,7,15,0,6,0,32,33
33,34,0,6,0,15,7,113,113,113,113,113,113,113,113,113,113,113,7,15,0,6,0,32,33
33,34,0,6,0,15,7,7,7,7,7,7,7,7,7,7,7,7,7,15,0,6,0,32,33
33,34,0,6,0,15,15,15,15,15,15,15,15,15,15,15,15,31,31,15,0,6,0,40,41
33,34,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,6,0,0,0
33,34,0,17,5,5,5,5,5,5,5,5,5,5,5,5,5,12,13,5,5,17,5,5,5
33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0
33,30,25,25,52,23,23,23,23,23,23,23,23,23,23,23,23,31,31,23,52,25,25,25,25
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
